Start Date;01/01/2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
End Date;26/01/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ATO FP Equity;FP FP Equity;EN FP Equity;ADP FP Equity;AI FP Equity;AIR FP Equity;AMS SM Equity;AZN LN Equity;TEAM US Equity;ATO FP Equity;BKT SM Equity;BKG LN Equity;BIM FP Equity;BMW GR Equity;BNP FP Equity;BOBNN SW Equity;EN FP Equity;BP/ LN Equity;BTVCY US Equity;BNZL LN Equity;BVI FP Equity;CPG LN Equity;CPG LN Equity;1COV GY Equity;CRDA LN Equity;BN FP Equity;DAL IM Equity;DGE LN Equity;DPLM LN Equity;EDENFP CorpTicker;FGR FP Equity;ESSITYB SS Equity;ERF FP Equity;EXPN LN Equity;FNAC FP Equity;FRE GY Equity;GEBN SW Equity;GIVN SW Equity;HLMA LN Equity;HAS LN Equity;HENKEL HB Equity;ICON LN Equity;IMA IM Equity;ITX SM Equity;INGA NA Equity;ITRK LN Equity;KOMB CP Equity;KONE AV Equity;LH US Equity;LR FP Equity;MC FP Equity;MARR IM Equity;MDT US Equity;ML FP Equity;NESN SW Equity;RI FP Equity;POM FP Equity;RB/ LN Equity;RIO LN Equity;ROG SW Equity;ROR LN Equity;RUI FP Equity;SGE LN Equity;SAN FP Equity;SAP GY Equity;SLB US Equity;SU FP Equity;GLE FP Equity;SW FP Equity;STAN LN Equity;THEP FP Equity;TOTAL 3.875 PERP REGS Corp;UPM FH Equity;FR FP Equity;VIE FP Equity;DG FP Equity;WDI GY Equity;MRW LN Equity
06/03/2019;63,1408;51,02;32,6;170;101,6364;113,72;64,94;6306;103,5;63,1408;7,156;3950;73;74,31;44,69;72,2;32,6;538;23,95;2457;21,88;1700;1700;50,62;4967,269;67,36;23,95;2992;1386;#N/A N/A;86,58;258,1;373,4;2013;73,55;48,19;403,7;2513;1595;156,4;27810;0,63;57,2;26,91;10,994;4900;962,5;#N/A N/A;145,21;58,58;306,9;20,64;92,08;103;91,6;154;25,08;6065;4478;280,55;292,2;51,8;664,2;76,58;95,2;43,37;69,66;27,11;96,2;631;49,8;108,476;26,86;27,56;19,52;83,68;118,5;229,25
07/03/2019;63,2921;51,02;32,2;169,9;100,6364;112,74;66,02;6258;104,21;63,2921;6,938;3900;72,4;72,89;43,18;69,9;32,2;540,7;23,95;2458;21,77;1702;1702;48,38;4934,488;68,02;23,05;3047;1386;#N/A N/A;86,4;259,5;388,8;2033;71,95;47,89;403,8;2518;1600;151,9;27810;0,62;56,8;26,86;10,708;4835;962;#N/A N/A;145,81;58,5;306,05;20,94;91,08;102,2;92,8;156,05;24,57;6148;4144,5;271,7;286,7;51,9;663;76,64;95,32;42,49;69,26;25,94;97;618,3;50;108,346;25,98;26,52;19,695;84,02;117,65;228
08/03/2019;62,2334;50,33;31,84;169,3;100,7727;111,52;66,08;6271;104,25;62,2334;6,884;3899;72,6;72,19;42,345;67,4;31,84;534,3;23,95;2430;21,62;1698;1698;48,64;4899,659;67,91;23,05;3033,5;1396;#N/A N/A;86,74;261,8;374;2020;69,75;47,19;403;2521;1610;151;27810;0,71;56,45;26,41;10,444;4764;951,5;#N/A N/A;146,51;58;305,8;20,9;90,52;100,7;92,7;155,55;24,1;6159;4120;269,8;280,1;51,2;660;76,78;95,6;41,29;67,6;25,3;97,18;610,5;49,5;108,235;25,98;26,17;19,69;84,36;123,85;224,9
11/03/2019;63,776;50,76;32,01;169,3;101,3182;112,96;66,1;6315;109,51;63,776;6,884;3854;72,6;73,38;43,33;67,55;32,01;535,6;23,95;2441;21,61;1710;1710;48,68;5001,074;67,93;23,05;3053;1441;#N/A N/A;87,06;261;360,6;2014;70,35;48,17;407,9;2523;1622;152,5;27810;0,55;56,55;26,36;10,722;4765;950;#N/A N/A;149,01;58,58;306,4;20,6;92;101,55;92,9;155,2;23,92;6140;4150,5;271,2;285,1;50,2;668,4;76,96;95,84;42,08;68,76;26,355;97,58;611,4;49,2;108,369;26,17;26,46;19,81;84,82;133,35;225,4
12/03/2019;63,3677;50,66;31,74;168,2;101,2273;114,58;65,36;6283;110,94;63,3677;6,85;3909;73,9;73;43,045;66,5;31,74;536,6;23,95;2450;21,58;1711,5;1711,5;48,07;4992,878;67,61;23,45;3044;1454;#N/A N/A;86,44;262,1;365,8;2030;72;48,3;401;2527;1632;153,9;27810;0,47;56,75;26,27;10,672;4670;954;#N/A N/A;151,41;58,86;308,6;20,6;92,44;100,7;92,8;154,95;24,07;6127;4170;270,3;288;50,25;673,2;77,4;95,6;42,59;69,1;26,3;98,1;613;50;108,606;26,02;26,6;19,93;84,04;127,05;225,15
13/03/2019;63,4433;51,21;31,66;167,5;101,5;116,88;65,52;6293;108,58;63,4433;7,014;3910;72,7;73,75;43,555;67,05;31,66;547,8;23,95;2439;21,46;1730;1730;48,51;5026,683;67,95;23,35;3052;1468;#N/A N/A;86,1;262,7;370;2030;71,7;49,11;402,6;2543;1648;154,1;27810;0,47;57,15;25,1;10,818;4670;955;#N/A N/A;154,93;59,98;310,5;20,42;93,02;102,95;93,46;155,35;24,57;6179;4182,5;271,3;287,6;52,3;676,8;77,8;96,4;43,15;69,4;26,73;97,28;612,7;51;108,834;25,87;26,64;19,93;84;118,7;226,5
14/03/2019;63,2769;51,45;31,8;171,6;102,2273;117;65,5;6309;110,48;63,2769;6,96;3907;72,7;73,64;43,84;66,45;31,8;549,9;23,95;2447;21,59;1730,5;1730,5;48,67;4980,586;68,71;23,55;3051;1453;#N/A N/A;86,76;266,2;371,2;2011;70;48,63;414,1;2561;1636;153,7;27810;0,425;57,55;25,07;10,93;4643;955,5;#N/A N/A;152,82;60,18;315,6;20,64;93,33;104;94,6;157,5;24,38;6260;4169;274,8;291,1;52,25;674,4;78,35;97;43,09;69,82;27;97,7;608,5;51;108,852;26,35;26,55;20,04;85,82;115,1;225
15/03/2019;65,3337;51,7;32,68;175;103,4091;117,68;67,5;6274;110,27;65,3337;7,004;3981;72,2;74,05;44,285;67,1;32,68;544,5;23,95;2465;21,57;1732;1732;49,03;4988,781;69,05;23,1;3080;1450;#N/A N/A;87,16;267,2;364,8;2040;72,35;48,97;415,4;2566;1659;156,9;27810;0,385;58,55;25,96;11,084;4676;950,5;#N/A N/A;154,36;60,28;318,6;20,44;93,79;105,7;93,72;158,8;24,99;6280;4151;271,65;295,8;52,7;685,2;79,55;99,35;42,39;70,72;27,295;99,6;610;51;108,847;26,75;27,34;20,05;86,28;105;221,15
18/03/2019;65,5908;52,27;32,78;176,1;102,2727;118;67,48;6350;111,22;65,5908;7,132;3946;73,1;74,16;45,1;67,45;32,78;554;23,95;2479;21,62;1743;1743;47,38;4971,366;69,13;23;3085;1442;#N/A N/A;87,66;269,2;369;2046;70,85;48,12;414;2559;1668;155,7;27810;0,535;60,2;26,2;10,97;4822;953;#N/A N/A;154,89;59,94;317,15;20,76;91,89;104,85;94,16;157,9;24,63;6281;4267;271;294,7;52;681;79,22;98,85;43,36;70,34;27,97;100,1;617,8;49,8;108,93;27,09;27,18;20,12;86,76;107,3;225,1
19/03/2019;65,7421;51,54;32,33;178,2;101,6818;119;67,84;6368;112,42;65,7421;7,156;3965;74,1;75,34;45,11;67,85;32,33;558,5;23,95;2482;21,75;1740;1740;47,95;5009,269;68,78;23,55;3064;1449;#N/A N/A;87,42;267,3;376,6;2041;70,85;48,82;418,1;2558;1668;155,9;27810;0,48;62,35;26,59;10,966;4800;947;#N/A N/A;155,96;60,38;320,3;21,1;92,66;105,85;94,6;157,05;25,51;6234;4305;270;297,3;51,35;684,8;79,55;100,14;43,25;71,14;27,975;101;610,7;48,4;108,891;27,42;28;20,28;85,88;111,1;227,15
20/03/2019;65,9387;50,36;31,96;173,5;102,4091;117,86;68,52;6401;112,83;65,9387;7,06;3838;73,8;71,9;44,19;66,05;31,96;556,2;23,95;2464;21,5;1745,5;1745,5;46,79;5007,22;68,96;21,5;3075;1458;#N/A N/A;86,4;267,4;362,6;2034;69,25;49,51;416,1;2551;1660;154;27810;0,445;63,4;26,1;10,75;4748;948,5;#N/A N/A;154,11;59,88;318,2;20,76;91,72;103,65;94,66;157,9;24,47;6295;4204;270,85;295;51,35;681,4;79,4;100,1;44,29;70,26;27,24;100,4;608,8;47,7;108,529;26,89;27,1;19,985;85,84;107,1;224,6
21/03/2019;65,9992;50,48;32,44;174,1;102,6818;118,56;68;6525;115,5;65,9992;6,964;3796;73,3;71,26;43,04;64,05;32,44;563,8;23,95;2491;21,54;1757,5;1757,5;47,53;5079,952;69,41;20,9;3139;1446;#N/A N/A;87;268,5;367,8;2093;68,4;48,28;415;2558;1670;154;27810;0,47;65,35;26,29;10,742;4770;952;#N/A N/A;156,3;60,18;317,8;20,8;92,1;104,45;95,44;160,1;24,67;6538;4282,5;270,65;293;50,9;693,8;79,74;100,1;44,22;70,18;26,575;97,78;606,4;48,6;108,215;26,48;27,17;20,16;86,08;101,1;224,7
22/03/2019;64,6381;49,43;31,7;172,8;100,5909;114,6;67,28;6351;109,83;64,6381;6,938;3780;72,8;69,25;41,625;64,3;31,7;552,1;23,95;2468;21,09;1740;1740;47,12;5016,439;67,7;19,98;3085,5;1436;#N/A N/A;85,08;268,3;360;2029;67,05;46,24;406;2531;1675;148,6;27810;0,39;66,35;26,27;10,464;4734;958,5;#N/A N/A;154,32;58,62;313,45;20,5;90,39;102,95;93,86;157,5;23,78;6408;4231;269,4;281,2;50,7;685,6;78,31;98,68;42,47;67,74;25,525;96,96;578,6;48,9;108,176;25,5;26,19;19,965;84,84;99;224,35
25/03/2019;63,6399;49,25;31,47;170,2;101,9091;114,04;67,28;6376;109,86;63,6399;6,964;3788;71,9;69,02;41,525;61,1;31,47;548,2;23,95;2449;20,66;1742,5;1742,5;46,43;5009,269;67,13;20,05;3089,5;1421;#N/A N/A;84,5;267,8;350;2003;65,4;47,09;405,3;2544;1656;145,9;27810;0,36;66,25;25,92;10,492;4745;956;#N/A N/A;152,92;58,82;317,7;20,36;90,62;103,2;94,06;158,6;23,54;6315;4299,5;268,75;269,8;49;681,2;77,96;98,64;42,47;68,3;25,4;96,78;580,7;49,4;108,095;25,41;25,93;19,755;84,88;99;223,75
26/03/2019;65,1371;49,585;31,57;172,8;102,6818;116,34;68,2;6412;111,55;65,1371;6,796;3781;74,1;68,3;41,425;60,55;31,57;550,6;23,95;2435;20,86;1750;1750;47,01;5066,635;67,78;19,92;3130;1421;#N/A N/A;84,82;266,3;362,2;2035;65,55;48,76;404,4;2563;1655;147,5;27810;0,38;66;26,43;10,482;4780;941,5;#N/A N/A;151,14;58,94;322,8;20,26;91,07;103,9;95,2;159,9;23,71;6388;4312,5;273,3;275,3;49,84;688,8;78,33;100,86;43,05;68,72;25,475;97,02;575,7;48,3;108,304;25,12;26,12;19,85;86,04;125;224,35
27/03/2019;63,7458;49,36;31,62;172,2;102,4091;115,48;68,66;6356;106,99;63,7458;6,848;3788;72,9;68,31;42,325;59,55;31,62;545,8;23,95;2460;20,91;1748;1748;48,07;5018,488;67,54;19,88;3099;1417;#N/A N/A;85,32;270,5;358,2;2025;66,8;48,54;402,3;2537;1657;147,7;27810;0,38;65,9;25,9;10,748;4744;946,5;#N/A N/A;150,91;59,06;322,9;20,28;90,26;104,7;95,3;159,35;24,01;6383;4334,5;271,35;276,9;49,42;682,2;77,69;100,24;42,68;68,98;25,97;97,4;579,7;49,8;108,893;25,43;26;19,895;86,24;124,35;226,65
28/03/2019;63,6097;49,295;31,27;170,3;102,6364;116,26;69,68;6496;108,46;63,6097;6,79;3759;72,9;68,08;41,985;59,3;31,27;550,6;23,95;2521;20,97;1770,5;1770,5;48,59;5120,927;68,12;20,65;3132;1433;#N/A N/A;84,5;274,4;361;2049;66,75;49,08;404;2548;1669;147,4;27810;0,37;66,35;25,94;10,65;4801;935;#N/A N/A;150,62;58,66;324,1;20,32;89,96;103,85;95,2;160;23,34;6390;4383,5;271,35;278;48,84;698,8;78,71;101,44;43,62;68,68;25,47;97,2;583,6;50,8;108,839;25,28;25,49;19,81;85,56;122,4;225
29/03/2019;65,0313;49,52;31,85;172,4;103,0455;117,9;71,4;6135;112,39;65,0313;6,79;3689;73,7;68,84;42,61;60,25;31,85;558,5;23,95;2532;20,9;1804,5;1804,5;49,02;5160,878;68,69;20,8;3138;1458;#N/A N/A;85,66;268,1;369;2079;66,55;49,76;407;2544;1672;150;27810;0,355;66,55;26,2;10,784;4857;940;#N/A N/A;152,98;59,66;327,9;20,28;91,08;105,4;94,9;160;23,73;6382;4461;274,35;282,8;48,62;701,2;78,74;103;43,57;69,94;25,775;98,16;591,3;50;108,832;26;25,85;19,93;86,72;111,7;227,55
01/04/2019;66,5588;50;32,63;173,4;103,6364;117,76;71,7;6169;113,87;66,5588;7,01;3725;75,35;70;43,48;61,25;32,63;559,2;23,95;2521;21,32;1782,5;1782,5;50,66;5119,903;68,34;20,94;3103,5;1468;#N/A N/A;87,04;265,8;372;2094;67,6;51,45;410,5;2492;1713,5;150,2;27810;0,335;67,4;26,09;11,038;4878;955;#N/A N/A;154,79;60,14;333,25;20,6;90,69;109,3;94,63;158,5;24,76;6470;4566;275;292,1;49,48;707;78,85;103;44,76;70,74;26,525;98,82;611,6;50,6;108,972;27,18;27,47;20,02;87,5;109,55;226,5
02/04/2019;65,2581;49,98;32,72;175,8;103,7273;117,22;71,18;6265;115,6;65,2581;6,972;3752;76,1;71,66;43,905;60,85;32,72;563,8;23,95;2526;21,52;1807;1807;51,16;5173,171;68,5;20,98;3141;1458;#N/A N/A;88,24;264,6;374,6;2121;67,75;51,21;409,9;2486;1733;150,2;27810;0,32;66,9;26,3;11,162;4943;953;#N/A N/A;157,58;60,48;334,5;20,65;90,4;109,75;94,81;160,8;25,47;6408;4604,5;275,55;296,3;49,9;705,4;79,24;103,1;44,49;71,68;26,615;98,94;632,6;51,6;108,947;27,46;28,24;20,03;88;108;226,8
03/04/2019;65,7572;50;33,16;177,5;105,0455;118,54;71,6;6165;115,36;65,7572;7,096;3826;77,5;72,29;44,515;64,6;33,16;560,3;23,95;2551;21,73;1806,5;1806,5;53,02;5216,196;68,92;22,1;3100,5;1535;#N/A N/A;89,16;266,3;381,4;2112;68,85;52,42;411,7;2485;1737;154,7;27810;0,32;67,45;26,64;11,324;4954;945;#N/A N/A;156,68;61,38;334;20,9;88,45;111,25;95,39;160,4;26,49;6383;4639;274,1;301,1;50,9;716,8;78,71;103,84;43,59;73,06;26,845;101,95;643,6;51,2;108,883;28,25;28,93;20,39;89,36;108,1;230
04/04/2019;65,6665;49,87;33,16;178;105,1818;117,82;71,48;6118;110,22;65,6665;7,15;3843;76,8;73,43;44,875;64,3;33,16;559,6;23,95;2526;21,75;1806;1806;52,7;5162,927;68,4;22,48;3109;1557;#N/A N/A;88,7;265,7;368,4;2090;69,45;52,39;413,4;2480;1751,5;154,8;27810;0,335;67,7;26,9;11,42;4983;942;#N/A N/A;157,45;61,4;333,55;20,35;89,23;111,9;95,28;160;26,26;6434;4588,5;273,85;301,6;50,45;704,8;78,57;103,64;44,1;73,02;26,98;99,86;640;52;108,712;28,25;29,39;20,39;88,86;110,1;229,8
05/04/2019;65,4245;50,29;33,24;180,4;105,9545;118,68;71,52;6145;111,33;65,4245;7,15;3777;77,75;71,8;44,505;64,45;33,24;568,6;23,95;2537;21,96;1825;1825;53,02;5230,537;67,9;22,5;3120;1560;#N/A N/A;88,36;261;363,8;2091;68,05;51,97;407,4;2502;1769;152,7;27810;0,315;67,7;26,7;11,306;5018;939;#N/A N/A;158,98;61,54;336,05;20,45;88,93;111,5;95,67;160,2;27,16;6383;4664,5;274;303,5;50,6;710;78,49;102,5;45;72,84;26,65;101,75;645,6;54,4;108,631;27,3;29,86;20,45;89,3;110,95;228,3
08/04/2019;64,8347;50,6;33,28;180,2;106,0909;120,74;71,8;6186;112,08;64,8347;7,102;3775;77,4;73,54;44,45;62,85;33,28;578,2;23,95;2530;21,7;1807;1807;52,68;5220,293;68,54;22,16;3128,5;1531;#N/A N/A;88,42;263,4;365;2096;68,55;51,64;406,5;2526;1778;152,7;27810;0,31;67,75;26,6;11,29;5028;940;#N/A N/A;158,77;61,74;332;20,55;88,99;111,4;95,72;160,4;26,69;6354;4718;274,45;302,3;50,7;711,6;78,49;101,88;46,17;72,68;26,52;101,35;645,6;54;108,582;26,82;29,22;20,3;88,82;109,5;227,4
09/04/2019;62,8081;50,23;33,1;176,5;105,3636;118,5;71,4;6151;112,15;62,8081;7,036;3695;76,95;72,93;44,58;62,7;33,1;574;23,95;2502;21,38;1793;1793;51,68;5185,464;68,54;21,82;3130,5;1511;#N/A N/A;87,1;261,8;360;2115;67,35;51,67;407,9;2527;1761,5;151,9;27810;0,3;67,85;26,5;11,312;4977;941;#N/A N/A;157,64;61,2;327,3;20,6;88,72;110,4;96,62;159,85;26,22;6408;4716;275;301;49,78;706,4;78,25;98,38;45,58;72,6;26,595;100,1;647,4;53,2;108,539;26,37;28,82;20,33;88;107,2;222,8
10/04/2019;63,6097;50,37;33,71;176,4;105,9545;116,5;70,7;6120;112,74;63,6097;6,976;3694;77;73,08;44,2;63;33,71;576,2;23,95;2505;21,62;1801;1801;52,34;5203,903;69;21,32;3123,5;1508;#N/A N/A;88,04;267;360,2;2124;67,75;51,6;409,5;2542;1750;155,6;27810;0,255;67,7;26,54;11,248;5038;940;#N/A N/A;159,61;61,44;329,75;20,6;88,63;112,1;97,12;160;25,97;5992;4762;275,8;305;49,78;703,6;77,96;99,7;45,55;73,22;26,26;101,45;647,8;53;108,55;26,55;28,34;20,53;89,44;109,2;221,6
11/04/2019;67,7535;50,08;33,9;177,8;105,1364;117,5;69,9;6018;114,44;67,7535;7,08;3820;76,95;73,45;44,805;64,5;33,9;572,6;23,95;2519;21,82;1780,5;1780,5;53,74;5154,732;69,14;20,84;3122,5;1535;#N/A N/A;88,1;263,3;362;2176;69,2;51,81;411,4;2530;1747;157,8;27810;0,285;67,85;26,59;11,452;5104;935;#N/A N/A;157,87;61,96;344,95;20,45;87,6;114,05;96,37;160,15;26,4;5936;4713;272,5;306,2;49,88;702;77,14;99,67;45,31;73,3;26,93;104,35;649,4;53;108,622;26,62;29,29;20,55;89,5;110,8;223
12/04/2019;68,2526;49,99;34;178,6;105,1364;118,6;69,74;5988;112,68;68,2526;7,252;3827;77,1;75,32;46,315;65,45;34;570,6;23,95;2512;21,73;1793;1793;55,32;5175,22;69,4;21,3;3115,5;1558;#N/A N/A;88;264,9;370,2;2192;71,85;51,45;411;2530;1720;159;27810;0,36;67,8;26,3;11,866;5170;940,5;#N/A N/A;157,45;62;342,9;20,45;86,75;116,35;95,53;158,8;26,84;5905;4771,5;266,55;315;48;705,6;75,4;99,39;45,65;73,64;28;104,55;672,2;53,6;108,811;26,81;30,24;20,46;89,66;110,4;222
15/04/2019;70,2943;50,07;34,49;177,8;105,4091;117,24;69,7;5994;114,45;70,2943;7,276;3857;77,4;75,55;46,85;68,4;34,49;569,9;23,95;2530;21,72;1753,5;1753,5;53;5160,878;69,98;21,6;3120,5;1571;#N/A N/A;87,72;264,3;367,6;2157;71,85;50,85;412,4;2540;1745,5;163,1;27810;0,32;67,75;26,54;11,942;5206;942;#N/A N/A;159,07;62,24;342,95;20,3;86,87;115,95;94,36;158,95;27,25;5823;4702,5;269;316,5;48,7;708,4;75;99,76;46,4;73,88;27,985;102,6;671;53,6;109,002;26,57;30,39;20,67;89,3;113,85;224,4
16/04/2019;69,3717;49,555;34,82;178,8;106;117,92;69,4;6015;112,97;69,3717;7,29;3847;75,7;76,39;47,66;71;34,82;568,1;23,95;2551;21,88;1725,5;1725,5;52,98;5167,025;69,68;21,84;3117,5;1591;#N/A N/A;88,48;263,9;366;2162;72;50,96;416,8;2556;1756,5;158,8;27810;0,305;68,05;27,03;12,052;5228;904,5;#N/A N/A;152,61;62,76;346,3;20,25;86,15;117,5;94,9;156,1;27,8;5874;4672,5;269,1;318,5;47,94;711,6;75,1;99,47;47,34;74,08;28,54;101,65;672,6;54;108,962;25,63;30,65;21,07;89,8;117,9;222,9
17/04/2019;70,4758;50,09;34,99;177,9;106,5;119,04;68,46;5914;111,19;70,4758;7,354;3839;72,8;77,42;48,44;73,55;34,99;572;24,86;2314;21,96;1715,5;1715,5;53,38;5146,537;69,6;21,9;3112;1585;#N/A N/A;88,64;267;371,2;2160;73,25;49,225;419,3;2555;1739;155,5;27810;0,3;68;27,3;11,994;5274;905,5;#N/A N/A;144,16;63,5;350,85;20,1;84,73;118;95,09;156,35;28,78;5868;4547;266,3;318,3;48,14;708;73,06;99,37;47,41;74,96;29;102,35;672,8;54;108,812;25,17;31,65;21,25;89,68;122,5;222,1
18/04/2019;71,3983;50,3;35;179,3;107,5455;120,24;68,86;5815;101,94;71,3983;7,346;3850;72,4;77,71;48,985;74,35;35;567,7;24,86;2352;22,01;1719;1719;53,04;5203,903;70,4;21,34;3126;1590;#N/A N/A;87,98;264,8;370;2200;76,45;48,905;421,3;2565;1738,5;148;27810;0,3;68,2;28;12,04;5330;905,5;#N/A N/A;145,22;64,46;352,3;20,45;84,22;117,45;95,85;154,7;28,97;5812;4600;263,4;316;48,38;709;72,87;100,48;45,56;77;29,015;102,85;672;53,2;108,807;25,42;32,42;21,05;89,36;120,1;221,4
19/04/2019;71,3983;50,3;35;179,3;107,5455;120,24;68,86;5815;101,94;71,3983;7,346;3850;72,4;77,71;48,985;74,35;35;567,7;24,86;2352;22,01;1719;1719;53,04;5203,903;70,4;21,34;3126;1590;#N/A N/A;87,98;264,8;370;2200;76,45;48,905;421,3;2565;1738,5;148;27810;0,3;68,2;28;12,04;5330;905,5;#N/A N/A;145,22;64,46;352,3;20,45;84,22;117,45;95,85;154,7;28,97;5812;4600;263,4;316;48,38;709;72,87;100,48;45,56;77;29,015;102,85;672;53,2;108,807;25,42;32,42;21,05;89,36;120,1;221,4
22/04/2019;71,3983;50,3;35;179,3;107,5455;120,24;68,86;5815;103,75;71,3983;7,346;3850;72,4;77,71;48,985;74,35;35;567,7;24,86;2352;22,01;1719;1719;53,04;5203,903;70,4;21,34;3126;1590;#N/A N/A;87,98;264,8;370;2200;76,45;48,905;421,3;2565;1738,5;148;27810;0,3;68,2;28;12,04;5330;905,5;#N/A N/A;144,25;64,46;352,3;20,45;84,15;117,45;95,85;154,7;28,97;5812;4600;263,4;316;48,38;709;72,87;100,48;45,85;77;29,015;102,85;672;53,2;108,807;25,42;32,42;21,05;89,36;120,1;221,4
23/04/2019;71,2622;51,22;34,42;180,2;107,2273;122,8;70,38;5915;106,72;71,2622;7,14;3818;74,05;77,5;48,11;75,2;34,42;582,5;24,86;2355;21,97;1738,5;1738,5;52,24;5238,732;71,08;21,48;3180,5;1613;#N/A N/A;88,48;269,3;384;2214;74,7;50,33;424,2;2616;1765;152,9;27810;0,34;68,55;27,84;11,954;5316;908;#N/A N/A;151,29;64,74;349,1;20,75;85,1;115,85;97,19;155,5;28,82;5942;4637;268;316,7;49,38;721,8;74,17;101,84;45,89;76,12;28,275;103,4;671,6;53,2;108,843;25,73;31,73;21,22;88,3;123,5;223,9
24/04/2019;70,748;50,04;34,84;180,2;107,0909;122,2;70,2;5908;103,17;70,748;6,996;3843;69;76,39;47,15;73,05;34,84;570,2;24,86;2321;22,14;1752;1752;51,22;5214,147;71,1;21,72;3181,5;1634;#N/A N/A;91,68;272;396;2234;77;50,22;425,9;2604;1779;157,4;27810;0,335;68,65;27,7;11,734;5356;892,5;#N/A N/A;153,96;64,36;350,95;20,75;85,64;114,5;97,16;156,75;27,61;6041;4555;266,95;313;48,38;731;74,34;114,62;44,24;76,42;27,52;103,7;660,2;52,2;108,98;25,72;31,19;21,12;89,9;134;219,9
25/04/2019;71,61;49,905;34,7;181,2;108,1818;121,9;71;5889;106;71,61;7;3782;69,5;75,98;46,765;72,7;34,7;569,3;24,86;2337;21,98;1756,5;1756,5;50,5;5208;71,46;22,02;3176;1614;#N/A N/A;91,46;278,6;382;2235;75;49,525;423,6;2605;1757;155,6;27810;0,34;68,65;26,99;11,33;5352;899,5;#N/A N/A;154,72;64,1;347,85;20,85;86,86;115,35;97,26;156,35;26,54;6120;4543,5;264,5;309,5;48;725,6;73,62;115,04;43,3;76,46;27,54;104,1;651,8;51,2;108,992;26,16;30,83;21,2;88,7;129;215,7
26/04/2019;70,6119;49,345;34,87;182;107,9545;121,86;70,44;5795;108,21;70,6119;7,058;3796;69,85;76,21;46,9;74;34,87;556,1;24,86;2328;22,1;1765;1765;51,12;5275,61;71,56;21,3;3223;1598;#N/A N/A;91,74;281,7;389,2;2247;77,8;50,82;426,2;2619;1755;155;27810;0,435;68,95;26,95;11,316;5392;900;#N/A N/A;154,62;64,58;346,45;21,2;87,35;116,15;97,52;155,75;27,01;6185;4545;266,35;308,8;48,88;722,8;76,2;114,34;43,3;76,34;27,7;103,9;662,4;51,4;108,982;25,87;32,88;21,22;89,32;133,75;219
29/04/2019;70,3245;48,595;35,12;182,3;107,2727;123,02;70,28;5840;110,05;70,3245;7,178;3806;70,4;75,9;47,665;74,8;35,12;552,5;24,86;2310;22,42;1745;1745;50,48;5153;71,62;21,46;3206;1600;#N/A N/A;91,54;281;398,4;2236;77,6;51,56;425,8;2616;1775;153,1;27810;0,33;68,85;26,5;11,382;5386;863,5;#N/A N/A;155,48;65,32;345,35;21,2;87,44;116,4;97,46;156,45;27,56;6200;4508,5;266,5;309,9;48,74;724,4;77,49;115;43,43;76,76;28,43;102,65;669,4;51,6;109,054;25,84;33,11;21,16;89,2;135,25;216,9
30/04/2019;69,402;49,545;33,54;181,6;107,7727;121,88;70,92;5726;110,15;69,402;7,118;3756;70,75;76,15;47,45;73,2;33,54;559;24,86;2309;22,58;1743;1743;48,75;5181;72,08;21,1;3233,5;1600;#N/A N/A;93,1;281,8;408;2225;78,35;50,58;427,3;2639;1799,5;151,6;27810;0,34;70;26,97;11,356;5350;866;#N/A N/A;159,92;65,52;349,05;21,65;88,81;115,15;98,05;155,35;26,99;6197;4465;268,6;311,9;48,8;725,4;77,49;114,58;42,68;75,46;28,22;102,25;700;50,8;109,159;25,11;32,37;21,06;90,02;133,7;215,9
01/05/2019;69,402;49,545;33,54;181,6;107,7727;121,88;70,92;5644;108,59;69,402;7,118;3780;70,75;76,15;47,45;73,2;33,54;552;24,86;2280;22,58;1738;1738;48,75;5136;72,08;21,1;3231;1605;#N/A N/A;93,1;281,8;408;2215;78,35;50,58;427,3;2639;1796,5;151,8;27810;0,43;70;26,97;11,356;5338;866;#N/A N/A;161,16;65,52;349,05;21,65;88,31;115,15;98,05;155,35;26,99;6130;4438,5;268,6;309,4;48,8;726;77,49;114,58;41,37;75,46;28,22;102,25;711,2;50,8;109,159;25,11;32,37;21,06;90,02;133,7;217,5
02/05/2019;70,4455;49,38;33,67;181;107,7273;119,98;67,94;5688;109,01;70,4455;7,098;3711;70,75;75,65;48;72,25;33,67;547,5;24,86;2237;22,36;1731,5;1731,5;47,78;5095;71,82;20,04;3198;1577;#N/A N/A;93,26;281,5;394,6;2202;78,6;50,75;459,1;2629;1787,5;150,1;27810;0,39;74,9;26,18;11,3;5320;882;#N/A N/A;165,63;62,16;351;21,4;89,14;114,45;97,34;154,35;26,65;6086;4359;267,7;306,5;48,56;711;77,03;113,1;41,12;73,96;28,38;102,2;707,6;51,8;109,243;25,4;32,24;21,27;89,18;130,15;214,9
